CDS	County	District	School	EL	FEP	Reclass
01100170112607	Alameda	Alameda County Office of Education	Envision Academy for Arts & Technology	58	145	0
01100170123968	Alameda	Alameda County Office of Education	Community School for Creative Education	115	4	0
01100170124172	Alameda	Alameda County Office of Education	Yu Ming Charter	31	121	12
01100170125567	Alameda	Alameda County Office of Education	Urban Montessori Charter	75	17	0
01100170130401	Alameda	Alameda County Office of Education	Alameda County Juvenile Hall/Court	4	4	0
01100170130419	Alameda	Alameda County Office of Education	Alameda County Community	28	24	5
01100170131581	Alameda	Alameda County Office of Education	Oakland Unity Middle	73	75	8
01100170136101	Alameda	Alameda County Office of Education	Connecting Waters Charter - East Bay	6	41	1
01100170136226	Alameda	Alameda County Office of Education	Opportunity Academy	9	14	1
01100170137448	Alameda	Alameda County Office of Education	Aurum Preparatory Academy	20	22	0
01100176001788	Alameda	Alameda County Office of Education	Cox Academy	280	132	10
01100176002000	Alameda	Alameda County Office of Education	Lazear Charter Academy	263	93	22
01316090131755	Alameda	California School for the Blind (State Special Sch	California School for the Blind	7	16	0
01316170131763	Alameda	California School for the Deaf-Fremont (State Spec	California School for the Deaf-Fremont	41	14	0
01611190000001	Alameda	Alameda Unified	Nonpublic, Nonsectarian Schools	2	1	0
01611190106401	Alameda	Alameda Unified	Alameda Science and Technology Institute	12	105	4
01611190111765	Alameda	Alameda Unified	Ruby Bridges Elementary	164	21	0
01611190119222	Alameda	Alameda Unified	Nea Community Learning Center	78	84	3
01611190122085	Alameda	Alameda Unified	The Academy of Alameda	58	123	2
01611190126656	Alameda	Alameda Unified	Maya Lin	46	14	4
01611190130229	Alameda	Alameda Unified	Alameda High	121	550	40
01611190130609	Alameda	Alameda Unified	Alameda Community Learning Center	41	73	1
01611190130625	Alameda	Alameda Unified	Alternatives in Action	98	75	7
01611190131805	Alameda	Alameda Unified	The Academy of Alameda Elementary	49	19	3
01611190132142	Alameda	Alameda Unified	Encinal Junior/Senior High	142	348	22
01611190134304	Alameda	Alameda Unified	Island High (Continuation)	16	10	0
01611196090005	Alameda	Alameda Unified	Donald D. Lum Elementary	8	5	1
01611196090013	Alameda	Alameda Unified	Edison Elementary	44	23	9
01611196090021	Alameda	Alameda Unified	Frank Otis Elementary	85	29	7
01611196090039	Alameda	Alameda Unified	Franklin Elementary	45	18	3
01611196090047	Alameda	Alameda Unified	Henry Haight Elementary	154	46	13
01611196090054	Alameda	Alameda Unified	Lincoln Middle	63	186	14
01611196090112	Alameda	Alameda Unified	Will C. Wood Middle	114	119	15
01611196090120	Alameda	Alameda Unified	William G. Paden Elementary	108	23	6
01611196100374	Alameda	Alameda Unified	Amelia Earhart Elementary	96	47	11
01611196110779	Alameda	Alameda Unified	Bay Farm	57	66	6
01611270000001	Alameda	Albany City Unified	Nonpublic, Nonsectarian Schools	1	0	0
01611270130294	Alameda	Albany City Unified	MacGregor High (Continuation)	0	1	1
01611270130450	Alameda	Albany City Unified	Albany High	65	381	43
01611276090146	Alameda	Albany City Unified	Cornell Elementary	129	68	18
01611276090161	Alameda	Albany City Unified	Albany Middle	95	232	18
01611276095376	Alameda	Albany City Unified	Marin Elementary	103	48	14
01611276116222	Alameda	Albany City Unified	Ocean View Elementary	190	55	21
01611430000001	Alameda	Berkeley Unified	Nonpublic, Nonsectarian Schools	3	1	0
01611430131177	Alameda	Berkeley Unified	Berkeley High	181	652	1
01611430134924	Alameda	Berkeley Unified	Berkeley Technology Academy	4	6	0
01611430138552	Alameda	Berkeley Unified	REALM Charter	85	139	1
01611436056857	Alameda	Berkeley Unified	Martin Luther King Middle	64	91	0
01611436056865	Alameda	Berkeley Unified	Willard Middle	31	67	0
01611436090187	Alameda	Berkeley Unified	Rosa Parks Environmental Science	45	28	0
01611436090195	Alameda	Berkeley Unified	Cragmont Elementary	36	20	4
01611436090211	Alameda	Berkeley Unified	Emerson Elementary	30	22	0
01611436090252	Alameda	Berkeley Unified	Jefferson Elementary	30	20	1
01611436090278	Alameda	Berkeley Unified	Sylvia Mendez Elementary	79	72	4
01611436090286	Alameda	Berkeley Unified	Malcolm X Elementary	40	27	0
01611436090294	Alameda	Berkeley Unified	Longfellow Arts and Technology Middle	90	111	0
01611436090302	Alameda	Berkeley Unified	Oxford Elementary	28	12	2
01611436090310	Alameda	Berkeley Unified	Thousand Oaks Elementary	76	41	0
01611436090328	Alameda	Berkeley Unified	Washington Elementary	66	20	0
01611436097729	Alameda	Berkeley Unified	Berkeley Arts Magnet at Whittier	38	40	1
01611436105316	Alameda	Berkeley Unified	John Muir Elementary	27	15	0
01611500000001	Alameda	Castro Valley Unified	Nonpublic, Nonsectarian Schools	1	0	0
01611500130047	Alameda	Castro Valley Unified	Roy A. Johnson High	2	1	0
01611500132225	Alameda	Castro Valley Unified	Castro Valley High	134	817	5
01611500133876	Alameda	Castro Valley Unified	Castro Valley Virtual Academy	0	1	0
01611500135533	Alameda	Castro Valley Unified	Redwood Continuation High	8	21	0
01611506090351	Alameda	Castro Valley Unified	Castro Valley Elementary	148	51	14
01611506090369	Alameda	Castro Valley Unified	Chabot Elementary	72	50	13
01611506090385	Alameda	Castro Valley Unified	Creekside Middle	33	217	6
01611506090393	Alameda	Castro Valley Unified	Independent Elementary	102	77	12
01611506090401	Alameda	Castro Valley Unified	Marshall Elementary	107	62	21
01611506090419	Alameda	Castro Valley Unified	Palomares Elementary	19	11	2
01611506090435	Alameda	Castro Valley Unified	Proctor Elementary	67	47	8
01611506090468	Alameda	Castro Valley Unified	Stanton Elementary	97	40	8
01611506090484	Alameda	Castro Valley Unified	Vannoy Elementary	66	39	12
01611506097653	Alameda	Castro Valley Unified	Canyon Middle	102	291	12
01611506113005	Alameda	Castro Valley Unified	Jensen Ranch Elementary	63	73	15
01611680132746	Alameda	Emery Unified	Emery Secondary	30	55	0
01611686090492	Alameda	Emery Unified	Anna Yates Elementary	130	55	3
01611760000001	Alameda	Fremont Unified	Nonpublic, Nonsectarian Schools	9	2	0
01611760127233	Alameda	Fremont Unified	Young Adult Program	19	3	0
01611760130062	Alameda	Fremont Unified	American High	131	1180	19
01611760130138	Alameda	Fremont Unified	Robertson High (Continuation)	19	56	1
01611760130435	Alameda	Fremont Unified	Vista Alternative	1	12	0
01611760130534	Alameda	Fremont Unified	Circle of Independent Learning	44	109	7
01611760134270	Alameda	Fremont Unified	Irvington High	129	1266	20
