cds,districtname,path
27102720000000,Monterey County Office of Education,logo.png
27102720112177,Monterey Bay Charter,MBCS.png
27102720116491,Open Door Charter,logo.png
27102720124297,Bay View Academy,bayview.png
27102722730232,Monterey County Home Charter,logo.png
27102726119663,Oasis Charter Public,oasis.png
27659610000000,Alisal Union,Alisal.jpeg
27659790000000,Bradley Union Elementary,bradley.png
27659870000000,Carmel Unified,Carmel.PNG
27659950000000,Chualar Union,chualar.png
27660270000000,Graves Elementary,graves.png
27660350000000,Greenfield Union Elementary,greenfield.png
27660500000000,King City Union,kingcity.jpg
27660680000000,South Monterey County Joint Union High,SoMoCo.png
27660760000000,Lagunita Elementary,Lagunita.PNG
27660840000000,Mission Union Elementary,mission.png
27660920000000,Monterey Peninsula Unified,mpusd.png
27660922730240,Learning for Life Charter,LFLCS.png
27660926118962,International School of Monterey,ISM.jpg
27661340000000,Pacific Grove Unified,pg.png
27661420000000,Salinas City Elementary,SCESD.png
27661590000000,Salinas Union High,SUHSD.png
27661670000000,San Antonio Union Elementary,sanantonio.jpg
27661750000000,San Ardo Union Elementary,sanardo.png
27661830000000,San Lucas Union Elementary,sanlucas.png
27661910000000,Santa Rita Union Elementary,SantaRita.gif
27662250000000,Spreckels Union Elementary,Spreckels.png
27662330000000,Washington Union Elementary,washington.jpg
27738250000000,North Monterey County Unified,NMCUSD.png
27751500000000,Big Sur Unified,bigsur.png
27751500118349,Big Sur Charter,bigsurcharter.png
27754400000000,Soledad Unified,soledad.jpg
27754730000000,Gonzales Unified,gonzales.png
99999990000000,Sunshine Union,sunshine.jpeg
